Timestamp,Source IP,Source Port,Dest IP,Dest Port,Protocol,Flags,Size,Event,Severity
2025-12-11 10:38:53,192.168.18.111,55076,104.18.32.47,443,TCP,S,60,TCP connection from 192.168.18.111:55076 to 104.18.32.47:443 [S] HTTPS,INFO
2025-12-11 10:38:53,104.18.32.47,443,192.168.18.111,55076,TCP,SA,60,TCP connection from 104.18.32.47:443 to 192.168.18.111:55076 [SA],INFO
2025-12-11 10:38:53,192.168.18.111,55076,104.18.32.47,443,TCP,A,52,TCP connection from 192.168.18.111:55076 to 104.18.32.47:443 [A] HTTPS,INFO
2025-12-11 10:38:53,192.168.18.111,55076,104.18.32.47,443,TCP,PA,1206,TCP connection from 192.168.18.111:55076 to 104.18.32.47:443 [PA] HTTPS,INFO
2025-12-11 10:38:53,192.168.18.111,55076,104.18.32.47,443,TCP,PA,150,TCP connection from 192.168.18.111:55076 to 104.18.32.47:443 [PA] HTTPS,INFO
2025-12-11 10:38:53,104.18.32.47,443,192.168.18.111,55076,TCP,A,52,TCP connection from 104.18.32.47:443 to 192.168.18.111:55076 [A],INFO
2025-12-11 10:38:53,104.18.32.47,443,192.168.18.111,55076,TCP,A,52,TCP connection from 104.18.32.47:443 to 192.168.18.111:55076 [A],INFO
2025-12-11 10:38:53,104.18.32.47,443,192.168.18.111,55076,TCP,PA,809,TCP connection from 104.18.32.47:443 to 192.168.18.111:55076 [PA],INFO
2025-12-11 10:38:53,104.18.32.47,443,192.168.18.111,55076,TCP,PA,123,TCP connection from 104.18.32.47:443 to 192.168.18.111:55076 [PA],INFO
2025-12-11 10:38:53,192.168.18.111,55076,104.18.32.47,443,TCP,A,52,TCP connection from 192.168.18.111:55076 to 104.18.32.47:443 [A] HTTPS,INFO
2025-12-11 10:38:53,192.168.18.111,55076,104.18.32.47,443,TCP,A,52,TCP connection from 192.168.18.111:55076 to 104.18.32.47:443 [A] HTTPS,INFO
2025-12-11 10:38:53,192.168.18.111,55076,104.18.32.47,443,TCP,PA,136,TCP connection from 192.168.18.111:55076 to 104.18.32.47:443 [PA] HTTPS,INFO
2025-12-11 10:38:53,192.168.18.111,55076,104.18.32.47,443,TCP,PA,83,TCP connection from 192.168.18.111:55076 to 104.18.32.47:443 [PA] HTTPS,INFO
2025-12-11 10:38:53,192.168.18.111,55076,104.18.32.47,443,TCP,PA,5495,TCP connection from 192.168.18.111:55076 to 104.18.32.47:443 [PA] HTTPS,INFO
2025-12-11 10:38:53,192.168.18.111,55076,104.18.32.47,443,TCP,PA,359,TCP connection from 192.168.18.111:55076 to 104.18.32.47:443 [PA] HTTPS,INFO
2025-12-11 10:38:53,104.18.32.47,443,192.168.18.111,55076,TCP,A,52,TCP connection from 104.18.32.47:443 to 192.168.18.111:55076 [A],INFO
2025-12-11 10:38:53,104.18.32.47,443,192.168.18.111,55076,TCP,A,52,TCP connection from 104.18.32.47:443 to 192.168.18.111:55076 [A],INFO
2025-12-11 10:38:53,104.18.32.47,443,192.168.18.111,55076,TCP,A,52,TCP connection from 104.18.32.47:443 to 192.168.18.111:55076 [A],INFO
2025-12-11 10:38:53,104.18.32.47,443,192.168.18.111,55076,TCP,A,52,TCP connection from 104.18.32.47:443 to 192.168.18.111:55076 [A],INFO
2025-12-11 10:38:54,104.18.32.47,443,192.168.18.111,55076,TCP,PA,934,TCP connection from 104.18.32.47:443 to 192.168.18.111:55076 [PA],INFO
2025-12-11 10:38:54,104.18.32.47,443,192.168.18.111,55076,TCP,PA,99,TCP connection from 104.18.32.47:443 to 192.168.18.111:55076 [PA],INFO
2025-12-11 10:38:54,104.18.32.47,443,192.168.18.111,55076,TCP,PA,83,TCP connection from 104.18.32.47:443 to 192.168.18.111:55076 [PA],INFO
2025-12-11 10:38:54,104.18.32.47,443,192.168.18.111,55076,TCP,PA,83,TCP connection from 104.18.32.47:443 to 192.168.18.111:55076 [PA],INFO
2025-12-11 10:38:54,192.168.18.111,55076,104.18.32.47,443,TCP,A,64,TCP connection from 192.168.18.111:55076 to 104.18.32.47:443 [A] HTTPS,INFO
2025-12-11 10:38:55,172.64.148.235,443,192.168.18.111,59946,TCP,PA,76,TCP connection from 172.64.148.235:443 to 192.168.18.111:59946 [PA],INFO
2025-12-11 10:38:55,192.168.18.111,59946,172.64.148.235,443,TCP,PA,80,TCP connection from 192.168.18.111:59946 to 172.64.148.235:443 [PA] HTTPS,INFO
2025-12-11 10:38:55,172.64.148.235,443,192.168.18.111,59946,TCP,A,52,TCP connection from 172.64.148.235:443 to 192.168.18.111:59946 [A],INFO
2025-12-11 10:38:55,192.168.0.1,45867,192.168.0.255,20002,UDP,NONE,353,UDP packet from 192.168.0.1:45867 to 192.168.0.255:20002,INFO
2025-12-11 10:39:09,192.200.0.102,443,192.168.18.111,42694,TCP,PA,137,TCP connection from 192.200.0.102:443 to 192.168.18.111:42694 [PA],INFO
2025-12-11 10:39:09,192.168.18.111,42694,192.200.0.102,443,TCP,A,52,TCP connection from 192.168.18.111:42694 to 192.200.0.102:443 [A] HTTPS,INFO
2025-12-11 10:39:09,192.168.18.187,56926,239.255.255.250,1900,UDP,NONE,198,UDP packet from 192.168.18.187:56926 to 239.255.255.250:1900,INFO
2025-12-11 10:39:10,192.168.18.187,56926,239.255.255.250,1900,UDP,NONE,198,UDP packet from 192.168.18.187:56926 to 239.255.255.250:1900,INFO
2025-12-11 10:39:11,192.168.18.111,36428,34.230.206.30,443,TCP,PA,98,TCP connection from 192.168.18.111:36428 to 34.230.206.30:443 [PA] HTTPS,INFO
2025-12-11 10:39:11,34.230.206.30,443,192.168.18.111,36428,TCP,PA,98,TCP connection from 34.230.206.30:443 to 192.168.18.111:36428 [PA],INFO
2025-12-11 10:39:11,192.168.18.111,36428,34.230.206.30,443,TCP,A,52,TCP connection from 192.168.18.111:36428 to 34.230.206.30:443 [A] HTTPS,INFO
2025-12-11 10:39:12,192.168.18.187,56926,239.255.255.250,1900,UDP,NONE,198,UDP packet from 192.168.18.187:56926 to 239.255.255.250:1900,INFO
2025-12-11 10:39:13,192.168.18.111,39182,18.97.36.2,443,TCP,PA,293,TCP connection from 192.168.18.111:39182 to 18.97.36.2:443 [PA] HTTPS,INFO
2025-12-11 10:39:13,192.168.18.1,0,192.168.18.111,0,ICMP,NONE,84,ICMP packet from 192.168.18.1 to 192.168.18.111,INFO
2025-12-11 10:39:13,192.168.18.111,0,192.168.18.1,0,ICMP,NONE,84,ICMP packet from 192.168.18.111 to 192.168.18.1,INFO
2025-12-11 10:39:13,192.168.18.1,0,192.168.18.111,0,ICMP,NONE,84,ICMP packet from 192.168.18.1 to 192.168.18.111,INFO
2025-12-11 10:39:13,192.168.18.111,0,192.168.18.1,0,ICMP,NONE,84,ICMP packet from 192.168.18.111 to 192.168.18.1,INFO
2025-12-11 10:39:13,18.97.36.2,443,192.168.18.111,39182,TCP,A,52,TCP connection from 18.97.36.2:443 to 192.168.18.111:39182 [A],INFO
2025-12-11 10:39:13,18.97.36.2,443,192.168.18.111,39182,TCP,PA,170,TCP connection from 18.97.36.2:443 to 192.168.18.111:39182 [PA],INFO
2025-12-11 10:39:13,192.168.18.111,39182,18.97.36.2,443,TCP,A,52,TCP connection from 192.168.18.111:39182 to 18.97.36.2:443 [A] HTTPS,INFO
2025-12-11 10:39:15,172.64.148.235,443,192.168.18.111,59946,TCP,PA,76,TCP connection from 172.64.148.235:443 to 192.168.18.111:59946 [PA],INFO
2025-12-11 10:39:15,192.168.18.111,59946,172.64.148.235,443,TCP,PA,80,TCP connection from 192.168.18.111:59946 to 172.64.148.235:443 [PA] HTTPS,INFO
2025-12-11 10:39:15,172.64.148.235,443,192.168.18.111,59946,TCP,A,52,TCP connection from 172.64.148.235:443 to 192.168.18.111:59946 [A],INFO
2025-12-11 10:39:15,192.168.0.1,45633,239.255.255.250,1900,UDP,NONE,414,UDP packet from 192.168.0.1:45633 to 239.255.255.250:1900,INFO
2025-12-11 10:39:15,192.168.0.1,45633,239.255.255.250,1900,UDP,NONE,423,UDP packet from 192.168.0.1:45633 to 239.255.255.250:1900,INFO
2025-12-11 10:39:15,192.168.0.1,45633,239.255.255.250,1900,UDP,NONE,486,UDP packet from 192.168.0.1:45633 to 239.255.255.250:1900,INFO
2025-12-11 10:39:15,192.168.0.1,45633,239.255.255.250,1900,UDP,NONE,482,UDP packet from 192.168.0.1:45633 to 239.255.255.250:1900,INFO
2025-12-11 10:39:15,192.168.0.1,45633,239.255.255.250,1900,UDP,NONE,462,UDP packet from 192.168.0.1:45633 to 239.255.255.250:1900,INFO
2025-12-11 10:39:15,192.168.0.1,45633,239.255.255.250,1900,UDP,NONE,494,UDP packet from 192.168.0.1:45633 to 239.255.255.250:1900,INFO
